SQL Table Usage
Date: 2025/10/28 14:18
"Project(s): POC_DEVK. Conditions: SQL Table(*; 50) Program(*; 50) Statement Type(All; 50)"

ProjectName;SqlTableId;TableName;ProgramId;ProgramName;ProgramTypeID;ProgramPath;Statement;StatementStartRow;StatementStartColumn;StatementEndRow;StatementEndColumn;StmtPathStr;
POC_DEVK;9;AORG_BENA_PERSON;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: SELECT;1170;16;1176;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;4;AORG_BENA_VERTRA;34;MOL1201;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOL1201.txt;SQL: SELECT;240;12;253;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOL1201.txt;
POC_DEVK;2;AORG_KOM_ADR;23;MOF653;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOF653.txt;SQL: SELECT;114;12;125;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOF653.txt;
POC_DEVK;17;AORG_KOM_PART;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: SELECT;6007;12;6015;20;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;12;AORG_UNT_UEB_REF;47;MOV1851;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;SQL: DELETE;521;12;526;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;
POC_DEVK;12;AORG_UNT_UEB_REF;47;MOV1851;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;SQL: INSERT;473;12;493;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;
POC_DEVK;12;AORG_UNT_UEB_REF;47;MOV1851;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;SQL: SELECT;321;12;348;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;
POC_DEVK;12;AORG_UNT_UEB_REF;47;MOV1851;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;SQL: SELECT;376;12;406;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;
POC_DEVK;12;AORG_UNT_UEB_REF;47;MOV1851;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;SQL: UPDATE;434;12;445;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;
POC_DEVK;3;AORG_VERTRIEBS_P;31;MOL05401;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOL05401.txt;SQL: SELECT;234;12;268;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOL05401.txt;
POC_DEVK;15;DAUS_VER;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: CLOSE;4998;12;5000;20;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;15;DAUS_VER;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: DECLARE_TABLE;9;12;65;22;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\CXA00010.txt;
POC_DEVK;15;DAUS_VER;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: FETCH;1629;12;1633;20;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;15;DAUS_VER;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: OPEN;1614;12;1616;20;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;15;DAUS_VER;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: SELECT;1204;16;1217;41;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;1;PDB1_ANSCHRIFT;9;MEF660;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;SQL: CLOSE;240;16;242;24;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;
POC_DEVK;1;PDB1_ANSCHRIFT;9;MEF660;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;SQL: FETCH;204;16;217;24;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;
POC_DEVK;1;PDB1_ANSCHRIFT;9;MEF660;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;SQL: OPEN;180;16;182;24;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;
POC_DEVK;1;PDB1_ANSCHRIFT;9;MEF660;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;SQL: SELECT;101;21;106;32;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;
POC_DEVK;1;PDB1_ANSCHRIFT;9;MEF660;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;SQL: SELECT;254;12;270;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;
POC_DEVK;1;PDB1_ANSCHRIFT;9;MEF660;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;SQL: SELECT;295;12;316;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MEF660.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: DELETE;1037;12;1039;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: FETCH;640;16;650;24;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: INSERT;993;12;1012;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: OPEN;632;12;634;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: SELECT;154;17;171;22;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: SELECT;676;12;701;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: SELECT;725;12;756;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: SELECT;780;12;810;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: SELECT;835;12;862;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: SELECT;886;12;918;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: SELECT;939;12;965;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;7;R_AORG_BEZ_ADM_MKT;32;MOU3100;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;SQL: UPDATE;1061;12;1074;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOU3100.txt;
POC_DEVK;11;SYSIBM.SYSDUMMY1;47;MOV1851;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;SQL: SELECT;293;12;299;20;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1851.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: DECLARE_TABLE;8;12;44;22;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;13;TESTE.R_AORG_BENA_AKTION;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: DECLARE_TABLE;8;12;24;22;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01301.txt;
POC_DEVK;8;TESTE.R_AORG_BENA_PERSON;41;MOV1101;COBOL;C:\Users\Admin\Desktop\POC_DEVK\code\Sub-Programs\MOV1101.txt;SQL: DECLARE_TABLE;8;12;12;22;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01101.txt;
POC_DEVK;8;TESTE.R_AORG_BENA_PERSON;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: DECLARE_TABLE;8;12;12;22;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01101.txt;
