SQL Table Field Usage
Date: 2025/10/28 14:15
"Project(s): POC_DEVK. Conditions: SQL Table(*; 50) SQL Table Field(*; 50) Program(*; 50) Statement Type(All; 50)"

ProjectName;SqlTableId;TableName;TablePath;DeclareStmtStartRow;DeclareStmtStartCol;DeclareStmtEndRow;DeclareStmtEndCol;SqlFieldID;FieldName;ProgramId;ProgramName;ProgramTypeID;ProgramPath;Statement;StatementStartRow;StatementStartColumn;StatementEndRow;StatementEndColumn;StmtPathStr;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;21;DRUCK_DAT;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;43;GRUND_ART;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;43;GRUND_ART;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;42;GRUND_KATEGORIE;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;42;GRUND_KATEGORIE;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;44;GRUND_TEXT;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;44;GRUND_TEXT;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;45;INFO;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;45;INFO;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;51;INFO_MKT;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;51;INFO_MKT;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;52;INFO_STATUS;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;52;INFO_STATUS;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;50;INFO_TYP;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;50;INFO_TYP;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;4214;18;4262;26;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
POC_DEVK;14;TESTE.AORG_BENA_E_MAIL;C:\Users\Admin\Desktop\POC_DEVK\code\Copybooks\COT01531.txt;8;12;44;22;22;MKT;59;POV110;COBOL;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;SQL: INSERT;3783;16;3832;24;C:\Users\Admin\Desktop\POC_DEVK\vbis-pov110-source.txt;
